Name,Score,Genres,Synopsis,Episodes,Aired,Status,Rating
Hikari to Mizu no Daphne,6.77,"Comedy, Drama, Mystery, Sci-Fi, Ecchi","In the future, water has covered much of the Earth due to the effects of global warming. The orphaned Maia Mizuki, 15, just graduated from middle school and has already applied for employment in the elite paramilitary Ocean Agency, part of the futuristic world government. Only the best, most intelligent, and physically fit students are eligible for admission. Maia, the series' protagonist, is set to become one of the few.

But her ideal life quickly falls apart. To her disappointment, Maia unexpectedly fails her entrance exams. Making matters worse, she promptly gets evicted from her house, pick pocketed, taken hostage, then shot. She is ""saved"" by two women (Rena and Shizuka) that are part of an unorthodox help-for-hire organization called Nereids (inspired by the Greek mythological Nereids ). With nowhere to go, Maia joins up with Nereids, taking jobs from capturing wanted criminals to chasing stray cats, often with unexpected results. Gloria and Yu later join up with Nereids.

""Daphne"" in the title refers to a subplot that starts midway into the series and eventually become important to Maia. ""Brilliant Blue"" refers to the fact that this is a world covered by water with almost no land. The world consists of vast oceans, a few islands, and floating cities.

(Source: Wikipedia)",24.0,"Jan 16, 2004 to Jul 3, 2004",Finished Airing,PG-13 - Teens 13 or older
Ningen Kousaten,6.22,"Drama, Slice of Life, Sports","Though seemingly unconnected, the characters in HUMAN CROSSING all have something in common. They are dealing with the sometimes joyous, but often horrific realities of everyday life. Set in modern day Japan, this compilation of short stories explores the lives of people from all walks of life. The animation used here is subtle, with realistic renderings that fully express the range of emotions experienced by the film`s characters. HUMAN CROSSING taps into the dramatic potential of reality, focusing on the isolated, sometimes lonely nature of urban life. Ultimately, however, the film suggests that perhaps there is an inter-connectedness between people that binds even the most disparate strangers together.

(Source: AniDB)",13.0,"Apr 5, 2003 to Jun 28, 2003",Finished Airing,PG-13 - Teens 13 or older
Kenran Butou Sai: The Mars Daybreak,7.14,"Action, Adventure, Comedy, Romance, Sci-Fi","Mars is now almost entirely covered in water. Humanity exists in large city-ships that float through the open seas. But life is hard for those who live on Mars—the economy is in bad shape, work is scarce, and food is expensive and highly prized. Gram and his friends try to do the best they can, but the work keeps drying up. Some have taken to a life of piracy to combat the corruption in the government; one such group is the pirates of the feared Ship of Aurora. And the Earth government, which rules Mars, has dispatched a new team of military pilots to combat them. In their specialized mecha called Round Bucklers, they must make the seas of Mars safe for humanity. Caught in the wrong place at the wrong time, Gram finds himself on the run with the most notorious pirates on Mars. But here's the thing—he's starting to like them!

(Source: Bandai Entertainment)",26.0,"Apr 1, 2004 to Sep 23, 2004",Finished Airing,PG-13 - Teens 13 or older
Kimagure Orange☆Road,7.53,"Comedy, Drama, Romance","Kyousuke Kasuga is no stranger to being the new kid at school. Despite only being a third-year middle schooler, he has spent his entire childhood avoiding those who discover his family's paranormal powers, and he has had to change schools seven times as a result. Upon catching a beautiful girl's hat, he becomes optimistic and hopes that he and his family have finally moved for the last time.

When Kyousuke gets to school, however, he learns a different story. The elegant girl he just met turns out to be none other than Madoka Ayukawa—also known as ""Madoka the Pick""—a delinquent known to smoke, drink, and get into fights. Her best friend is first-year Hikaru Hiyama, a childish and energetic girl who quickly falls in love with Kyousuke. Enamored with both girls, Kyousuke tries to balance a delicate triangle of emotions, all while dealing with the antics brought about by a family with paranormal powers.",48.0,"Apr 6, 1987 to Mar 7, 1988",Finished Airing,PG-13 - Teens 13 or older
Macross,7.9,"Action, Romance, Sci-Fi","After a mysterious spaceship crashes into Earth, humanity realizes that they are not alone. Fearing a potential threat from space, the world pushes aside their nationalism, conflicting interests, and cultural differences, unifying under the banner of the United Nations. The newly formed UN forces decide to repurpose the alien spacecraft, naming it SDF-1 Macross. Unfortunately, on the day of its maiden voyage, a fleet of spaceships belonging to a race of aliens known as the Zentradi descend upon Earth, and the SDF-1 Macross, acting of its own accord, shoots down the incoming squadron, sparking an intergalactic war.

In an attempt to escape, the Macross tries to launch itself into the Moon's orbit, but the ship—as well as the city it was in—is teleported to the far reaches of space. Caught up in this mess are Hikaru Ichijou, a free-spirited acrobatic pilot, and Minmay Lynn, an aspiring singer. These two, alongside Macross' crew, experience an epic journey rife with grief and drama, coming face-to-face with the cruelties of war along the way.",36.0,"Oct 3, 1982 to Jun 26, 1983",Finished Airing,PG-13 - Teens 13 or older
Oishinbo,6.85,"Comedy, Gourmet, Slice of Life","Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka. Oishinbo is a popular mainstream comic for adults in Japan. It is even mentioned in an episode of ""Iron Chef.""

(Source: AniDB)",136.0,"Oct 17, 1988 to Mar 17, 1992",Finished Airing,PG-13 - Teens 13 or older
Lime-iro Senkitan,5.95,"Drama, Supernatural, Ecchi","Around the the 37th year of the Meiji Era (1904), in the midst of the Russo-Japanese war, the small Japanese army, in need of assistance, uses its special flying (thanks to a benevolent demon) ship, the Amanohara, to attack Russia's major base at Port Arthur (Lushun).

Umakai Shintaro, a Russian diplomat originally from Japan, defects and goes to Sapporo to teach at a girls academy. However, that girls academy is not typical—it is on board the Amanohara, and the five girls Shintaro teaches are known as the Raimu Unit—girls with the ability to summon powerful beings to fight for them. Shintaro eventually becomes their teacher and general in battle, and so the six embark on a weird and excessively erotic journey, as Shintaro helps the girls overcome their weaknesses, become stronger for the final stand at Lushun, and also understand the motives of the ""Russian Spiritual Corps"" that assist the opponent, which, unfortunately, has one member whom Shintaro knew well...

(Source: ANN)",13.0,"Jan 4, 2003 to Mar 29, 2003",Finished Airing,R+ - Mild Nudity
Samurai Girl Real Bout High School,5.91,"Adventure, Comedy, Fantasy","At Daimon High School, kids settle their disputes by dueling with each other in the school's official K-Fight battle arena. Ryoko Mitsurugi, samurai girl and undefeated K-Fight champion, is called upon by a mysterious Priestess to protect the Earth from an invasion coming from the alternate universe of Solvania. She must face battles that will test her skills, her friendships, and her heart in order to find her true strength as a samurai warrior. 

(Source: ANN)",13.0,"Jul 30, 2001 to Oct 22, 2001",Finished Airing,PG-13 - Teens 13 or older
Shinkon Gattai Godannar!!,6.64,"Comedy, Romance, Sci-Fi, Ecchi","Five years ago, while battling an alien force known as the ""Mimesis,"" Dannar pilot Goh Saruwatari first met Anna Aoi. Today, on the day of their wedding, the ceremony is interrupted when the Mimesis strike again. As Goh struggles in his battle against the alien threat, Anna stumbles upon a top secret robot known as the ""Neo-Okusaer"" and uses it as a last-resort to save her fiancee. At that moment, Dannar and Neo-Okusaer merge to become the mighty robot ""Godannar.""

(Source: ANN)",13.0,"Oct 1, 2003 to Dec 24, 2003",Finished Airing,PG-13 - Teens 13 or older
Shinkon Gattai Godannar!! 2nd Season,6.89,"Comedy, Romance, Sci-Fi, Ecchi","The history is placed right after the -cliffhanger- end of Godannar when Anna looks surprised to see Mira driving the Neo Okusaer.

(Source: AniDB)",13.0,"Apr 6, 2004 to Jun 29, 2004",Finished Airing,PG-13 - Teens 13 or older
Senkaiden Houshin Engi,7.08,"Adventure, Fantasy, Supernatural","Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles, and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hunt down the villains and evil warlocks in the devastated lands.

(Source: ANN)",26.0,"Jul 3, 1999 to Dec 25, 1999",Finished Airing,PG-13 - Teens 13 or older
Mermaid Melody Pichi Pichi Pitch Pure,7.19,"Adventure, Comedy, Romance","After the final battle against Gaito, Sara had given her life to remain with him. The sea world is now at peace, but only with six mermaid princesses.

While Caren, Noel, and Coco have returned to their kingdoms, it should be time for Lucia, Hanon, and Rina to do the same. After all, Mitsuki Tarou is leaving for Germany, and Doumoto Kaito is heading to Hawaii. Lucia is devestated, and when things couldn't get any worse, Kaito is lost at sea! Worst of all, a strange angel named Michel has appeared, wanting the mermaids to join him. But on the lighter side, Sara's spirit tells Lucia of Sara's successor, a young mermaid named Seira. The mermaids are in for another adventure!",39.0,"Apr 3, 2004 to Dec 25, 2004",Finished Airing,PG - Children
Bouken Ou Beet Excellion,6.68,"Adventure, Fantasy, Supernatural","It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.",25.0,"Oct 6, 2005 to Mar 30, 2006",Finished Airing,PG - Children
Figure 17: Tsubasa & Hikaru,7.2,"Sci-Fi, Slice of Life","Tsubasa Shiina is a 10-year-old girl who recently moved to Hokkaido to live with her father. In school, she is very quiet and unsociable with her classmates. Then one night, she witnesses a UFO crash in the forest near her home. She rushes to the scene and finds the pilot, codenamed ""D.D."", in a barely stable condition. Also in the scene is a Maguar, a hideous alien that hatched aboard D.D.'s ship. As the Maguar is close to taking Tsubasa's life, an alien lifeform fuses with her body to form the Riberus battle armor Figure 17, which shortly destroys the alien threat. The life form takes the name Hikaru and turns into an identical twin of Tsubasa. As time passes, Tsubasa becomes more open to everyone around her, thanks to her new twin sister Hikaru. However, with Maguar eggs scattered all over Hokkaido, their ability to form Figure 17 is needed to eliminate all hatched Maguars until backup from D.D.'s home planet arrives on Earth.

(Source: ANN)",13.0,"May 27, 2001 to May 26, 2002",Finished Airing,PG-13 - Teens 13 or older
UFO Princess Valkyrie,6.77,"Comedy, Sci-Fi, Ecchi","UFO Princess Warukyure, aka UFO Princess Walkyrie is about a princess from outer space who accidentally crashes on earth, where Kazuto desperately tries to maintain the public bath of his grandfather. Due to circumstances, Kazuto receives part of princess Walkyrie's soul which forces her to stay there with him. But that's not the only problem ... because her soul lost strength, the princess transforms both mentally and physically into a little kid!

(Source: AniDB)",12.0,"Jul 4, 2002 to Sep 19, 2002",Finished Airing,R+ - Mild Nudity
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,7.01,"Comedy, Romance, Sci-Fi","Valkyrie, Kazuto, Akina, Hydra, and friends are back for more when the Key of time suddenly appears along with many other mysterious happenings. All seemed to be linked to a person named ""Valkyrie Ghost"" whose only goal is stealing Kazuto for herself. As they team up against this seeming unbeatable foe they dig deeper into the mysterious past of Valkyrie's home planet, Valhalla.

(Source: ANN)",12.0,"Oct 4, 2003 to Dec 20, 2003",Finished Airing,R+ - Mild Nudity
Digimon Frontier,7.15,"Action, Adventure, Comedy, Drama, Fantasy","With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).",50.0,"Apr 7, 2002 to Mar 30, 2003",Finished Airing,PG - Children
Tenchi Muyou! GXP,7.14,"Action, Comedy, Sci-Fi","From crashing his bike to falling in lakes, Seina Yamada just cannot shake the bad luck that follows him. But his fortune begins to change when he is forcibly recruited into the Galaxy Police and ends up capturing the most pirates in the force. 

Now, Seina is no longer just the unfortunate boy from Earth; he is a man that pirates have come to fear. Despite his reputation, Seina is still the same clumsy guy, but at least he has Amane Kaunaq, a former model, and Kiriko Masaki, his long time friend, to keep him together. With their help, Seina sets out on an adventure in the hopes of becoming a great Galaxy Police Officer.",26.0,"Apr 2, 2002 to Sep 25, 2002",Finished Airing,PG-13 - Teens 13 or older
Betterman,6.58,"Action, Adventure, Drama, Horror, Mystery, Sci-Fi","A deadly virus known as ""Algernon"" has attacked humanity with vicious meaning. At the forefront of the battle is the mystifying Akamatsu Industries—disguised as a heavy machine factory in Tokyo, this undercover organization uses neural enhanced weapons known as NeuroNoids to battle Algernon. Also helping with their secret efforts is the mysterious mutant who is only known as ""Betterman.""

(Source: ANN)",26.0,"Apr 2, 1999 to Oct 1, 1999",Finished Airing,R - 17+ (violence & profanity)
Mushrambo,6.93,"Adventure, Drama, Fantasy, Sci-Fi","In the world of Mushrambo, human life has all but come to an end. After a deadly virus threatened the extinction of mankind, a new race called the Enterrans was created to preserve life on Earth. However, relations between the Enterrans and their creators did not remain peaceful. Soon a war broke out with the Enterrans fighting against the humans and their robots. Ultimately the Enterrans were the victors of this conflict, renaming Earth as Enterra in honor of their victory.

Before the last vestiges of humanity fell, one of the few remaining scientists put his daughter, Yakumo Shindou, into a sleep chamber. His hope was that his daughter would one day reawaken and find the human sanctuary known as Shinzo, reviving humanity and restoring peace between humans and Enterrans. Centuries have passed since the war; Yakumo now awakens and meets an Enterran named Mashura who pledges to assist in her quest. Also joined by the Enterrans Sago and Kutal, the group must now work to locate Yakumo's missing memories and locate Shinzo. But not every Enterran is as kind as Yakumo's new friends and some are prepared to commit any atrocity to prevent the return of humanity.",32.0,"Feb 5, 2000 to Sep 23, 2000",Finished Airing,PG - Children
Medarot,7.08,"Adventure, Comedy, Sci-Fi","Medabots—powerful robots granted artificial intelligence through special ""medals""—serve at the whims of their owner. They are more commonly used in ""Robbatling,"" a popular combat sport where two medabots face off against one another. In its professional form, Medafighters use their Medabots to qualify for the World Tournament and fight amongst the elite to gain the title of champion.

Elementary schooler Ikki Tenryou has just gained his first Medabot: Metabee, an outdated model with no medal. Fortunately, however, Ikki manages to find a medal in the nearby river; but when Ikki places it into Metabee's head, the latter starts to exhibit strange behaviour. Short-tempered and rebellious, he refuses to obey Ikki's orders. However, to climb the ranks to the World Tournament, Ikki and Metabee must first learn to work together, no matter how difficult the prospect may seem…",52.0,"Jul 2, 1999 to Jun 30, 2000",Finished Airing,PG - Children
Monkey Magic,5.77,"Adventure, Fantasy","From out of the fires of space he was born... Kongo, a monkey made of stone, magically brought to life. 

Obsessed with a desire to learn and a need to be great, Kongo leaves his ""family"" on Flower Fruit Mountain in search of ancient knowledge and arcane wisdom. Not content to merely study and learn the mystical arts, Kongo masters the magic Jet Cloud, the first of his great weapons. 

With the power of the Jet Cloud, Kongo gains mastery of the air and returns to his adopted home just in time. Humans are laying claim to the monkeys` ancestral home. With his Jet Cloud and his newly-learned magical wisdom, Kongo defeats the humans and proclaims himself King of Flower Fruit Mountain. 

But in the Celestial Heavens, the gods are uneasy. A monkey defeating humans and declaring himself king? That cannot be allowed! They decide the monkeys must be taught a lesson and so they launch an attack on Kongo and all the monkeys of Flower Fruit Mountain. 

(Source: AniDB)",13.0,"Sep 20, 1998 to Dec 13, 1998",Finished Airing,PG - Children
Hachimitsu to Clover II,8.2,"Drama, Romance","Back from his journey across Japan, Yuuta Takemoto reminisces about his college life so far. He has matured significantly since his second year and is motivated to move forward.

Feeling more confident than ever before, he finally confesses to Hagumi Hanamoto, the girl he has been in love with since their first encounter. However, Hagumi has been confused by her attempts to understand the mysterious Shinobu Morita. Hiding behind a playful demeanor, Morita may be the most burdened by his own potential. Meanwhile, Takumi Mayama has become a full-fledged working adult and has landed Ayumi Yamada several pottery orders through his company in an act of friendship.

The five youths continue to face individual hardships in academics, work, love, and friendship as they push each other toward the paths that they are destined to walk.",12.0,"Jun 30, 2006 to Sep 15, 2006",Finished Airing,PG-13 - Teens 13 or older
Kaze no Youjinbou,7.13,"Action, Drama, Mystery","In search for Araki Genzo, George Kodama finds himself in the small town of Kimujuku. George quickly realizes that he is unwelcome and is warned to leave as soon as possible. With two rival syndicates roaming the streets and a dark violent past, the town of Kimujuku isn't what it appears to be. George challenges the town of Kimujuku in order to reveal the towns dark hidden past and discover the truth. 

(Source: ANN)",25.0,"Oct 2, 2001 to Mar 26, 2002",Finished Airing,R - 17+ (violence & profanity)
Choujuushin Gravion Zwei,6.63,"Action, Adventure, Comedy, Sci-Fi","After Gravion was able to use its ultimate attack, the Zeravire threat seemed to have temporary stopped. However when it rises back up all of a sudden, the Earth Gult and its trump card, the super robot Gravion, is needed to defend this world again. All this while, the EFA is planning to create their own weapons to counter the Zeravire, the Grand Trooper. Now as they attempt to fend off the Zeravire, the people of the Earth Gult and EFA must protect their future as well as confront their pasts, and unveil the mysteries of the Zeravire.

(Source: ANN)",12.0,"Jan 9, 2004 to Mar 26, 2004",Finished Airing,R+ - Mild Nudity
I: Wish You Were Here,6.0,"Action, Drama, Mystery, Sci-Fi","In the future, a meteor crashes into Earth and brings with it a virulent form of life. This virus is known as M34 and attacks humans, turning them into vicious monsters. Most of the human population is wiped out, thus government agencies are formed to fight the virus. One of the groups, NOA, inserts nanomachines into the bodies of its soldiers; these machines allow them to transform and fight off the infected. Unfortunately, the virus mutates and becomes too strong for NOA to handle. Now the fate of the world rests in the hands of 16-year-old girl with the power to defeat the virus.

(Source: AniDB)",4.0,"Oct 4, 2001 to Nov 24, 2001",Finished Airing,R - 17+ (violence & profanity)
Final Fantasy: Unlimited,6.18,"Action, Adventure, Fantasy, Sci-Fi","Years ago, the opening of an interdimensional portal released two beasts into the skies over the Sea of Japan, visible to all the countries along the coast. After destroying the naval patrol sent to investigate the disturbance, the two beasts then turned against each other.

Witnessing the fight from Japan, scientists Joe and Marie Hayakawa were sucked into the rift. Upon returning to Earth, they compiled and published the academic findings from their voyage in a legendary book titled ''Day of Succession''. Attempting a second expedition to that other dimension twelve years later, the couple have not returned.

Twins Ai and Yu Hayakawa decide to set forth in search of their parents and the mysterious Wonderland they studied. In the ruins of an abandoned subway station, the two wait for a train to take them to the world beyond. On board they meet Lisa Pacifist, who quickly decides to aid the two in the search for their missing family. Can the three of them manage to find Joe and Marie?",25.0,"Oct 2, 2001 to Mar 26, 2002",Finished Airing,PG-13 - Teens 13 or older
Maze☆Bakunetsu Jikuu (TV),6.6,"Adventure, Comedy, Fantasy","Maze wakes up in her house, everything is a wreck and she has amnesia. Before she can gather what has happened the girl Mill storms into her house thanking her for having saved her life. She tells Maze that her house suddenly fell down from the sky and crushed Mills pursuers under it. However before long they are both on the run from further pursuers who want their hands on princess Mill. They are only saved when Maze discovers that she has phantom light magical powers and can summon Mills family heirloom mecha. However her performance with the mecha is weak; that is until the sun goes down and she is turned in to a lecherous man. Soon other travellers join them as Maze tries to protect Mill and figure out what she is doing in this fantasy world. 

(Source: ANN)",25.0,"Apr 3, 1997 to Sep 25, 1997",Finished Airing,PG-13 - Teens 13 or older
Neo Ranga,6.59,"Adventure, Horror","An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. 

(Source: ANN)",48.0,"Apr 6, 1998 to Sep 28, 1999",Finished Airing,PG-13 - Teens 13 or older
Mahou Senshi Louie,7.16,"Adventure, Comedy, Fantasy","Louie, a brawny student at the mage's guild, is reluctantly accepted by three girls (Merrill-thief, Genie-fighter, and Melissa-priestess) as a companion for their adventuring party. As the foursome explore ruins, battle dark creatures, and make new friends, they also uncover a sinister plot within the kingdom.

(Source: ANN)",24.0,"Apr 3, 2001 to Sep 18, 2001",Finished Airing,PG-13 - Teens 13 or older
Samurai Gun,5.93,Action,"It is the beginning of the industrial revolution, and feudal Japan is in turmoil. The ruling Shogun are wielding their abusive powers to instill fear and dominance over their oppressed subjects. Beatings, imprisonment, rape and even murder are the adopted tactics chosen to maintain their reign. The bloodshed must end. A group of Samurai have banded together, and, with the development of new weapons and new technology, they have both the will and the hardware to stand up and fight. Ichimatsu is one of these fighters. By day, he works incognito at a local tavern, in the evenings he frequents the brothels, and by the dark of night, he doles out some big-time, gun-barrel justice. He is here to help. He is Samurai Gun. 

(Source: ANN)",12.0,"Oct 4, 2004 to Dec 14, 2004",Finished Airing,R - 17+ (violence & profanity)
Slayers Try,7.81,"Adventure, Comedy, Fantasy","For nearly a millennium, demons have imposed a magical barrier that has impeded the people trapped within it from reaching the outside world. Now that it is broken, several kingdoms seek to explore the lands that were once beyond their grasp. To this end, they establish a peace delegation to make contact with the inhabitants of the new world.

Meanwhile, the young sorceress Lina Inverse receives a message from a mysterious woman named Filia ul Copt. When they meet, Filia expresses interest in hiring Lina and her friends, having heard of their great deeds, for a certain task that will take them to the outside realm. Despite that, Filia feels the need to put their strength to the test and pits them against a dragon in the middle of the city! After proving themselves, the sorceress and her fellow adventurers set off for the unexplored lands, where many adventures and a worrying prophecy await them.",26.0,"Apr 4, 1997 to Sep 26, 1997",Finished Airing,PG-13 - Teens 13 or older
Metal Fighter Miku,6.44,"Comedy, Sci-Fi, Sports","In the near future, the sports world is dominated by Neo Wrestling, a new spectacle in which Metal Fighters challenge each other to be named champion. 

The story follows the girls of the Pretty Four; Miku, Ginko, Sayaka, and Nana, as they face off against the current champions, Team Sapphire. With a burnt out drunk named Eiichi Suo for a coach the girls must not only contend with problems in the arena but also unforseen circumstances that arise in day to day life. Only through protecting their friends, understanding their enemies, and eventually challenging their idol Aquamarine, can Miku and the girls understand Eiichi's purpose and the shady secrets behind Neo Wrestling.

(Source: ANN)",13.0,"Jul 8, 1994 to Sep 30, 1994",Finished Airing,PG-13 - Teens 13 or older
Gakuen Senki Muryou,7.0,"Action, Adventure, Sci-Fi, Supernatural","The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds.

With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars!

(Source: RightStuf)",26.0,"May 8, 2001 to Dec 4, 2001",Finished Airing,PG-13 - Teens 13 or older
Hyper Police,7.07,"Action, Comedy, Romance, Sci-Fi","Sasahara Natsuki is a poor bounty hunter in a world where monsters and humans live together. Most of her cases involve monsters infringing upon the rights of humans, who are protected by law from their generally more powerful neighbors. Being half-human and half cat-beast, Natsuki straddles the two societies and tries to understand and respect both while enforcing the law. She is assisted by a werewolf named Batanen who is afraid to admit he loves her; another werewolf named Tommy; and a Kyubi fox demon named Sakura who has her own plans--which include eating Natsuki to complete her her nine tails and thereby her magical powers. 

(Source: ANN)",25.0,"Apr 4, 1997 to Sep 26, 1997",Finished Airing,R - 17+ (violence & profanity)
Lost Universe,7.03,"Adventure, Comedy, Drama, Sci-Fi","Millie Nocturne has one great goal in life: to be the best in the universe - at absolutely everything! But when she tries her hand at being the ""best detective,"" she ends up an unwilling partner with two people who will change her life forever: Kane Blueriver, the psi-blade-wielding master of the starship Swordbreaker, and Canal, the smart-mouthed holographic image of the ship's computer.

Join this unlikely trio on their adventures as they hurtle through space facing off against intergalactic crime lords, rogue starships, and hijackers dressed as chickens... and that's just the tip of the asteroid! 

(Source: RightStuf)",26.0,"Apr 3, 1998 to Sep 25, 1998",Finished Airing,PG-13 - Teens 13 or older
Battle Athletess Daiundoukai (TV),6.91,"Adventure, Sci-Fi, Sports","Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes. 

(Source: ANN)",26.0,"Oct 3, 1997 to Mar 27, 1998",Finished Airing,PG - Children
Momoiro Sisters,6.03,Comedy,"Momoko is a high school student, trying to live up to her older sister Sakura. Sakura works in an office along with many other co-workers. The two sisters, and their friends, experience the everyday hardships and situations of being a woman. 

(Source: ANN)",23.0,"Aug 26, 1998 to Oct 6, 1998",Finished Airing,PG-13 - Teens 13 or older
Eden's Bowy,6.5,"Action, Adventure, Fantasy, Romance, Sci-Fi","Yorn gazes up at two massive cities floating in the sky and dreams of discovering their mysteries. Without warning, those mysteries come looking for him. Edenic assassins murder his father and Yorn is next on the hit list. A nameless old man and a mysterious young girl help Yorn on his quest to find his long-lost mother and the truth. Known as the God Hunter, Yorn leads a race against the dark designs of the technological overlords.",26.0,"Apr 6, 1999 to Sep 24, 1999",Finished Airing,PG-13 - Teens 13 or older
Happy Seven: The TV Manga,6.39,"Comedy, Fantasy","Amano Sakogami is a girl who has an unnatural amount of bad luck. One day, she stumbles into the clubroom of the Better Fortune Research Organization, which consists of a boy and seven other girls who secretly use the power of the luck deities to fight against the Magatsugami, monsters who can affect a person's luck &amp; well-being. Amano soon becomes the club's manager, and joins the club in their fight against the Magatsugami and their controller, Kukitomoe.

(Source: ANN)",13.0,"Oct 3, 2005 to Dec 26, 2005",Finished Airing,PG - Children
Coyote Ragtime Show,6.63,"Action, Adventure, Comedy, Sci-Fi","Mister is a ""coyote"" or space faring outlaw who has been sitting in prison for a year for a traffic offense. Ten days from release, he breaks out with the help of his old partners Bishop and Katana. He then seeks out Franka who has been left in his care by her dead father and takes her on a journey to find her father's treasure. On their heels are the federal investigators Angelica and Chelsea as well as the android assassins of the Criminal Guild, Madame Marciano's Twelve Sisters.

(Source: ANN)",12.0,"Jul 4, 2006 to Sep 19, 2006",Finished Airing,PG-13 - Teens 13 or older
Zero no Tsukaima,7.23,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi","Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.

When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.

Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.",13.0,"Jul 3, 2006 to Sep 25, 2006",Finished Airing,PG-13 - Teens 13 or older
Masuda Kousuke Gekijou Gag Manga Biyori,7.16,Comedy,"Gyagu Manga Biyori is an anime that is about absolutely nothing. It is comprised of 12 short stories (5 minutes long each) that only build up a small amount of plot for each story. The anime feeds off the stupidest things, but is quite humorous.

(Source: ANN)",12.0,"Feb 7, 2005 to Apr 25, 2005",Finished Airing,PG-13 - Teens 13 or older
Tsuyokiss,6.56,"Comedy, Romance, Slice of Life","Sunao Konoe starts her first day at a new school and is surprised to find that there is no drama club. So, she decides to make one of her own. But between a childhood friend showing up, the crazy student body, and the arrogant student council president blocking her at every turn, it seems that actually creating the club is going to be more difficult than she thought.

(Source: ZomgAnime)",12.0,"Jul 2, 2006 to Sep 17, 2006",Finished Airing,PG-13 - Teens 13 or older
Nintama Rantarou,7.07,Comedy,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama ), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. 

With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama.

The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.",UNKNOWN,"Apr 10, 1993 to ?",Currently Airing,G - All Ages
